,SKU,Date,Unit Sales,Dollar Sales
99,50012011250,2014-11-29,1,9.99
100,50012011250,2014-12-01,1,9.99
101,50012011250,2014-12-02,9,89.91
102,50012011250,2014-12-03,5,49.95
103,50012011250,2014-12-04,4,39.96
104,50012011250,2014-12-05,3,29.97
105,50012011250,2014-12-06,3,29.97
107,50012011250,2014-12-09,5,49.95
108,50012011250,2014-12-10,4,39.96
109,50012011250,2014-12-11,4,39.96
110,50012011250,2014-12-12,3,29.97
111,50012011250,2014-12-13,2,19.98
112,50012011250,2014-12-15,7,69.93
113,50012011250,2014-12-16,5,49.95
114,50012011250,2014-12-17,5,49.95
116,50012011250,2014-12-19,4,39.96
117,50012011250,2014-12-20,4,39.96
118,50012011250,2014-12-22,5,49.95
120,50012011250,2014-12-24,6,59.94
121,50012011250,2014-12-25,2,19.98
122,50012011250,2014-12-26,5,49.95
123,50012011250,2014-12-29,5,49.95
124,50012011250,2014-12-30,7,69.993
125,50012011250,2014-12-31,2,19.98
126,50012011250,2015-01-01,4,39.96
127,50012011250,2015-01-02,4,39.96
128,50012011250,2015-01-03,1,9.99
129,50012011250,2015-01-05,1,9.99
130,50012011250,2015-01-06,6,59.94
131,50012011250,2015-01-07,1,9.99
132,50012011250,2015-01-08,1,9.99
133,50012011250,2015-01-09,7,69.93
134,50012011250,2015-01-10,3,29.97
135,50012011250,2015-01-12,3,29.97
136,50012011250,2015-01-13,6,59.94
137,50012011250,2015-01-14,3,29.97
138,50012011250,2015-01-15,7,69.93
139,50012011250,2015-01-16,2,19.98
140,50012011250,2015-01-17,2,19.98
141,50012011250,2015-01-19,3,29.97
142,50012011250,2015-01-20,7,69.93
143,50012011250,2015-01-21,3,29.97
144,50012011250,2015-01-22,1,9.99
145,50012011250,2015-01-23,1,9.99
146,50012011250,2015-01-24,1,9.99
147,50012011250,2015-01-26,4,39.96
148,50012011250,2015-01-27,2,19.98
149,50012011250,2015-01-28,2,19.98
150,50012011250,2015-01-29,2,19.98
151,50012011250,2015-01-30,2,19.98
152,50012011250,2015-01-31,4,39.96
153,50012011250,2015-02-02,3,29.97
154,50012011250,2015-02-03,6,59.94
155,50012011250,2015-02-04,3,29.97
156,50012011250,2015-02-05,4,39.96
157,50012011250,2015-02-06,5,49.95
158,50012011250,2015-02-07,4,39.96
159,50012011250,2015-02-09,5,49.95
160,50012011250,2015-02-10,5,49.95
161,50012011250,2015-02-11,2,19.98
162,50012011250,2015-02-12,5,49.95
163,50012011250,2015-02-13,5,49.95
164,50012011250,2015-02-14,1,9.99
165,50012011250,2015-02-16,4,39.96
166,50012011250,2015-02-17,3,29.97
167,50012011250,2015-02-18,4,39.96
168,50012011250,2015-02-19,3,29.97
169,50012011250,2015-02-20,2,19.98
170,50012011250,2015-02-21,1,9.99
171,50012011250,2015-02-23,3,29.97
172,50012011250,2015-02-24,4,39.96
173,50012011250,2015-02-25,5,49.95
175,50012011250,2015-02-27,4,39.96
176,50012011250,2015-02-28,3,29.97
177,50012011250,2015-03-03,3,29.97
178,50012011250,2015-03-04,2,19.98
179,50012011250,2015-03-05,4,39.96
180,50012011250,2015-03-06,6,59.94
181,50012011250,2015-03-07,1,9.99
182,50012011250,2015-03-09,2,19.98
183,50012011250,2015-03-10,3,29.97
184,50012011250,2015-03-11,6,59.94
185,50012011250,2015-03-12,5,49.95
186,50012011250,2015-03-13,5,49.95
187,50012011250,2015-03-14,3,29.97
188,50012011250,2015-03-16,5,49.95
189,50012011250,2015-03-17,6,59.94
190,50012011250,2015-03-18,3,29.97
191,50012011250,2015-03-19,3,29.97
192,50012011250,2015-03-20,2,19.98
193,50012011250,2015-03-21,6,59.94
194,50012011250,2015-03-23,6,59.94
195,50012011250,2015-03-24,3,29.97
196,50012011250,2015-03-25,4,39.96
197,50012011250,2015-03-26,5,49.95
198,50012011250,2015-03-27,3,29.97
199,50012011250,2015-03-28,4,39.96
200,50012011250,2015-03-30,4,39.96
201,50012011250,2015-03-31,-4,-39.96
202,50012011250,2015-04-01,2,19.98
203,50012011250,2015-04-02,2,19.98
204,50012011250,2015-04-03,1,9.99
205,50012011250,2015-04-04,2,19.98
206,50012011250,2015-04-06,1,9.99
207,50012011250,2015-04-07,2,19.98
208,50012011250,2015-04-08,2,19.98
209,50012011250,2015-04-09,5,49.95
212,50012011250,2015-04-13,4,39.96
213,50012011250,2015-04-14,4,39.96
214,50012011250,2015-04-15,2,19.98
215,50012011250,2015-04-16,2,19.98
216,50012011250,2015-04-17,3,29.97
217,50012011250,2015-04-18,6,59.94
218,50012011250,2015-04-20,5,49.95
219,50012011250,2015-04-21,5,49.95
220,50012011250,2015-04-22,1,9.99
221,50012011250,2015-04-23,4,39.96
222,50012011250,2015-04-24,6,59.94
223,50012011250,2015-04-25,1,9.99
224,50012011250,2015-04-27,5,49.95
225,50012011250,2015-04-28,3,29.97
226,50012011250,2015-04-29,1,9.99
227,50012011250,2015-04-30,3,29.97
229,50012011250,2015-05-02,4,39.96
230,50012011250,2015-05-05,5,49.95
231,50012011250,2015-05-06,2,19.98
232,50012011250,2015-05-07,3,29.97
233,50012011250,2015-05-08,1,9.99
234,50012011250,2015-05-09,3,29.97
235,50012011250,2015-05-11,3,29.97
236,50012011250,2015-05-12,3,29.97
237,50012011250,2015-05-13,3,29.97
238,50012011250,2015-05-14,3,29.97
239,50012011250,2015-05-15,1,9.99
240,50012011250,2015-05-16,7,69.93
241,50012011250,2015-05-18,3,29.97
242,50012011250,2015-05-19,1,9.99
244,50012011250,2015-05-21,1,9.99
245,50012011250,2015-05-22,2,19.98
246,50012011250,2015-05-23,3,29.97
247,50012011250,2015-05-25,5,49.95
248,50012011250,2015-05-26,4,39.96
249,50012011250,2015-05-27,3,29.97
250,50012011250,2015-05-28,1,9.99
251,50012011250,2015-05-29,3,29.97
252,50012011250,2015-05-30,2,19.98
253,50012011250,2015-06-01,2,19.98
254,50012011250,2015-06-02,8,79.92
255,50012011250,2015-06-03,7,69.93
256,50012011250,2015-06-04,2,19.98
257,50012011250,2015-06-05,7,69.93
258,50012011250,2015-06-06,3,29.97
259,50012011250,2015-06-08,6,59.94
260,50012011250,2015-06-09,5,49.95
262,50012011250,2015-06-11,-6,-59.94
263,50012011250,2015-06-12,4,39.96
264,50012011250,2015-06-13,6,59.94
265,50012011250,2015-06-15,5,49.95
266,50012011250,2015-06-16,6,59.94
268,50012011250,2015-06-18,3,29.97
269,50012011250,2015-06-19,2,19.98
270,50012011250,2015-06-20,1,9.99
271,50012011250,2015-06-22,4,39.96
272,50012011250,2015-06-23,4,39.96
273,50012011250,2015-06-24,3,29.97
274,50012011250,2015-06-25,6,59.94
275,50012011250,2015-06-26,4,39.96
277,50012011250,2015-06-29,3,29.97
278,50012011250,2015-06-30,5,49.95
279,50012011250,2015-07-01,2,19.98
280,50012011250,2015-07-02,3,29.97
281,50012011250,2015-07-03,7,69.93
282,50012011250,2015-07-04,8,79.92
283,50012011250,2015-07-06,6,59.94
284,50012011250,2015-07-07,2,19.98
285,50012011250,2015-07-08,1,9.99
286,50012011250,2015-07-09,1,9.99
287,50012011250,2015-07-10,3,29.97
288,50012011250,2015-07-11,3,29.97
289,50012011250,2015-07-13,4,39.96
290,50012011250,2015-07-14,2,19.98
291,50012011250,2015-07-15,3,29.97
292,50012011250,2015-07-16,2,19.98
293,50012011250,2015-07-17,3,29.97
294,50012011250,2015-07-18,3,29.97
295,50012011250,2015-07-20,2,19.98
296,50012011250,2015-07-22,3,29.97
297,50012011250,2015-07-23,5,49.95
298,50012011250,2015-07-24,5,49.95
299,50012011250,2015-07-25,4,39.96
300,50012011250,2015-07-27,5,49.95
301,50012011250,2015-07-28,1,9.99
302,50012011250,2015-07-30,2,19.98
303,50012011250,2015-07-31,-4,-39.96
304,50012011250,2015-08-01,6,59.94
306,50012011250,2015-08-04,3,29.97
307,50012011250,2015-08-05,3,29.97
308,50012011250,2015-08-06,5,49.95
309,50012011250,2015-08-07,6,59.94
310,50012011250,2015-08-08,4,39.96
311,50012011250,2015-08-10,4,39.96
312,50012011250,2015-08-11,2,19.98
313,50012011250,2015-08-12,7,69.93
314,50012011250,2015-08-13,3,29.97
315,50012011250,2015-08-14,2,19.98
316,50012011250,2015-08-15,5,49.95
317,50012011250,2015-08-17,3,29.97
318,50012011250,2015-08-18,6,59.94
319,50012011250,2015-08-19,1,9.99
321,50012011250,2015-08-21,5,49.95
322,50012011250,2015-08-22,3,29.97
323,50012011250,2015-08-24,2,19.98
324,50012011250,2015-08-25,4,39.96
325,50012011250,2015-08-26,4,39.96
326,50012011250,2015-08-27,5,49.95
327,50012011250,2015-08-29,3,29.97
328,50012011250,2015-08-31,9,89.91
329,50012011250,2015-09-01,1,9.99
330,50012011250,2015-09-02,4,39.96
331,50012011250,2015-09-03,3,29.97
332,50012011250,2015-09-04,4,39.96
334,50012011250,2015-09-07,3,29.97
335,50012011250,2015-09-08,2,19.98
336,50012011250,2015-09-09,1,9.99
337,50012011250,2015-09-10,5,49.95
339,50012011250,2015-09-12,3,29.97
340,50012011250,2015-09-14,6,59.94
341,50012011250,2015-09-15,5,49.95
342,50012011250,2015-09-16,4,39.96
343,50012011250,2015-09-17,5,49.95
344,50012011250,2015-09-18,6,59.94
345,50012011250,2015-09-19,2,19.98
346,50012011250,2015-09-21,2,19.98
347,50012011250,2015-09-22,2,19.98
348,50012011250,2015-09-23,3,29.97
349,50012011250,2015-09-24,2,19.98
350,50012011250,2015-09-25,3,29.97
351,50012011250,2015-09-26,1,9.99
352,50012011250,2015-09-28,4,39.96
353,50012011250,2015-09-29,2,19.98
354,50012011250,2015-09-30,5,49.95
356,50012011250,2015-10-02,4,39.96
357,50012011250,2015-10-03,6,59.94
358,50012011250,2015-10-05,-4,-39.96
359,50012011250,2015-10-06,2,19.98
360,50012011250,2015-10-07,1,9.99
361,50012011250,2015-10-08,4,39.96
363,50012011250,2015-10-10,7,69.93
364,50012011250,2015-10-12,3,29.97
365,50012011250,2015-10-13,5,49.95
366,50012011250,2015-10-14,8,79.92
367,50012011250,2015-10-15,2,19.98
368,50012011250,2015-10-16,2,19.98
369,50012011250,2015-10-17,3,29.97
370,50012011250,2015-10-19,2,19.98
371,50012011250,2015-10-20,7,69.93
372,50012011250,2015-10-21,3,29.97
373,50012011250,2015-10-22,2,19.98
374,50012011250,2015-10-23,2,19.98
375,50012011250,2015-10-24,3,29.97
376,50012011250,2015-10-26,9,89.91
377,50012011250,2015-10-27,1,9.99
378,50012011250,2015-10-28,4,39.96
379,50012011250,2015-10-29,4,39.96
380,50012011250,2015-10-30,7,69.93
381,50012011250,2015-10-31,5,49.95
382,50012011250,2015-11-02,4,39.96
383,50012011250,2015-11-03,1,9.99
384,50012011250,2015-11-04,3,29.97
385,50012011250,2015-11-05,6,59.94
386,50012011250,2015-11-06,3,29.97
387,50012011250,2015-11-07,5,49.95
388,50012011250,2015-11-09,5,49.95
389,50012011250,2015-11-10,5,49.95
390,50012011250,2015-11-11,2,19.98
391,50012011250,2015-11-12,6,59.94
392,50012011250,2015-11-13,3,29.97
393,50012011250,2015-11-14,3,29.97
394,50012011250,2015-11-16,1,9.99
395,50012011250,2015-11-17,4,39.96
396,50012011250,2015-11-18,6,59.94
398,50012011250,2015-11-20,6,59.94
399,50012011250,2015-11-21,2,19.98
400,50012011250,2015-11-23,3,29.97
401,50012011250,2015-11-24,1,9.99
402,50012011250,2015-11-25,1,9.99
403,50012011250,2015-11-26,6,59.94
404,50012011250,2015-11-27,2,19.98
405,50012011250,2015-11-28,6,59.94
406,50012011250,2015-11-30,7,69.93
407,50012011250,2015-12-01,4,39.96
408,50012011250,2015-12-02,2,19.98
409,50012011250,2015-12-03,1,9.99
410,50012011250,2015-12-04,6,59.94
411,50012011250,2015-12-05,4,39.96
412,50012011250,2015-12-07,2,19.98
413,50012011250,2015-12-08,4,39.96
414,50012011250,2015-12-09,3,29.97
415,50012011250,2015-12-10,3,29.97
416,50012011250,2015-12-11,3,29.97
417,50012011250,2015-12-12,5,49.95
418,50012011250,2015-12-14,1,9.99
419,50012011250,2015-12-15,2,19.98
420,50012011250,2015-12-16,-2,-19.98
421,50012011250,2015-12-17,-5,-49.95
422,50012011250,2015-12-18,2,19.98
423,50012011250,2015-12-19,2,19.98
424,50012011250,2015-12-21,2,19.98
425,50012011250,2015-12-22,3,29.97
426,50012011250,2015-12-23,6,59.94
427,50012011250,2015-12-24,5,49.995
428,50012011250,2015-12-25,5,49.95
429,50012011250,2015-12-26,4,39.96
430,50012011250,2015-12-28,4,39.96
431,50012011250,2015-12-29,3,29.97
432,50012011250,2015-12-30,4,39.96
433,50012011250,2015-12-31,3,29.97
434,50012011250,2016-01-01,3,29.97
435,50012011250,2016-01-02,7,69.93
436,50012011250,2016-01-04,4,39.96
437,50012011250,2016-01-05,5,49.95
438,50012011250,2016-01-06,1,9.99
439,50012011250,2016-01-07,6,59.94
440,50012011250,2016-01-08,2,19.98
441,50012011250,2016-01-09,4,39.96
442,50012011250,2016-01-11,3,29.97
443,50012011250,2016-01-12,6,59.94
444,50012011250,2016-01-13,6,59.94
445,50012011250,2016-01-14,5,49.95
446,50012011250,2016-01-15,5,49.95
447,50012011250,2016-01-16,3,29.97
449,50012011250,2016-01-19,3,29.97
450,50012011250,2016-01-20,3,29.97
451,50012011250,2016-01-21,3,29.97
452,50012011250,2016-01-22,2,19.98
453,50012011250,2016-01-23,4,39.96
454,50012011250,2016-01-25,3,29.97
455,50012011250,2016-01-26,3,29.97
456,50012011250,2016-01-27,4,39.96
457,50012011250,2016-01-28,3,29.97
458,50012011250,2016-01-29,2,19.98
459,50012011250,2016-01-30,2,19.98
460,50012011250,2016-02-01,6,59.94
461,50012011250,2016-02-02,4,39.96
462,50012011250,2016-02-03,1,9.99
463,50012011250,2016-02-04,3,29.97
464,50012011250,2016-02-05,3,29.97
465,50012011250,2016-02-06,1,9.99
466,50012011250,2016-02-08,3,29.97
467,50012011250,2016-02-09,1,9.99
468,50012011250,2016-02-10,1,9.99
469,50012011250,2016-02-12,4,39.96
470,50012011250,2016-02-13,2,19.997999999999998
471,50012011250,2016-02-15,5,49.95
472,50012011250,2016-02-16,3,29.97
473,50012011250,2016-02-17,5,49.95
475,50012011250,2016-02-19,4,39.96
476,50012011250,2016-02-20,3,29.97
478,50012011250,2016-02-23,1,9.99
479,50012011250,2016-02-24,3,29.97
480,50012011250,2016-02-25,5,49.95
482,50012011250,2016-02-27,1,9.99
483,50012011250,2016-02-29,2,19.98
484,50012011250,2016-03-01,5,49.95
485,50012011250,2016-03-02,1,9.99
486,50012011250,2016-03-03,4,39.96
487,50012011250,2016-03-04,2,19.98
488,50012011250,2016-03-05,4,39.96
489,50012011250,2016-03-07,5,49.95
490,50012011250,2016-03-08,1,9.99
491,50012011250,2016-03-10,3,299.97
492,50012011250,2016-03-11,5,49.95
493,50012011250,2016-03-12,3,29.97
494,50012011250,2016-03-14,3,29.97
496,50012011250,2016-03-17,1,9.99
497,50012011250,2016-03-18,2,19.98
498,50012011250,2016-03-19,1,9.99
499,50012011250,2016-03-21,2,19.98
500,50012011250,2016-03-22,3,29.97
501,50012011250,2016-03-23,2,19.98
503,50012011250,2016-03-25,3,29.97
504,50012011250,2016-03-26,2,19.98
505,50012011250,2016-03-28,3,29.97
506,50012011250,2016-03-30,4,39.96
507,50012011250,2016-03-31,4,39.96
508,50012011250,2016-04-01,3,29.97
509,50012011250,2016-04-02,3,29.97
510,50012011250,2016-04-04,2,19.98
511,50012011250,2016-04-05,1,9.99
512,50012011250,2016-04-06,1,9.99
513,50012011250,2016-04-07,5,49.95
514,50012011250,2016-04-08,3,29.97
515,50012011250,2016-04-09,3,29.97
516,50012011250,2016-04-11,1,9.99
517,50012011250,2016-04-12,1,9.99
518,50012011250,2016-04-13,8,79.92
519,50012011250,2016-04-14,2,19.98
520,50012011250,2016-04-15,3,29.97
522,50012011250,2016-04-18,8,79.92
523,50012011250,2016-04-19,2,19.98
524,50012011250,2016-04-20,4,39.96
525,50012011250,2016-04-21,5,49.95
526,50012011250,2016-04-22,2,19.98
527,50012011250,2016-04-23,4,39.96
528,50012011250,2016-04-25,4,39.96
529,50012011250,2016-04-26,6,59.94
530,50012011250,2016-04-27,4,39.96
531,50012011250,2016-04-28,1,9.99
532,50012011250,2016-04-29,4,39.96
533,50012011250,2016-04-30,5,49.95
534,50012011250,2016-05-02,6,59.94
535,50012011250,2016-05-03,2,19.98
536,50012011250,2016-05-04,4,39.96
537,50012011250,2016-05-05,2,19.98
538,50012011250,2016-05-06,3,29.97
539,50012011250,2016-05-07,3,299.97
540,50012011250,2016-05-09,2,19.98
541,50012011250,2016-05-10,2,19.98
542,50012011250,2016-05-11,5,49.95
543,50012011250,2016-05-12,5,49.95
544,50012011250,2016-05-13,3,29.97
545,50012011250,2016-05-14,4,39.96
546,50012011250,2016-05-16,3,29.97
547,50012011250,2016-05-17,6,59.94
548,50012011250,2016-05-18,2,19.98
549,50012011250,2016-05-19,4,39.96
550,50012011250,2016-05-20,7,69.93
551,50012011250,2016-05-21,1,9.99
552,50012011250,2016-05-23,3,29.97
553,50012011250,2016-05-24,4,39.96
554,50012011250,2016-05-25,5,49.95
555,50012011250,2016-05-26,5,49.95
556,50012011250,2016-05-27,5,49.95
558,50012011250,2016-05-30,2,19.98
559,50012011250,2016-05-31,7,69.93
560,50012011250,2016-06-01,4,39.96
561,50012011250,2016-06-02,6,59.94
562,50012011250,2016-06-03,4,39.96
563,50012011250,2016-06-04,3,29.97
564,50012011250,2016-06-06,3,29.97
565,50012011250,2016-06-07,8,79.92
566,50012011250,2016-06-08,1,9.99
567,50012011250,2016-06-09,1,9.99
568,50012011250,2016-06-10,3,29.97
569,50012011250,2016-06-11,6,59.94
570,50012011250,2016-06-13,3,29.97
571,50012011250,2016-06-14,3,29.97
572,50012011250,2016-06-15,6,59.94
573,50012011250,2016-06-16,1,9.99
574,50012011250,2016-06-17,4,39.96
576,50012011250,2016-06-20,1,9.99
577,50012011250,2016-06-21,3,29.97
578,50012011250,2016-06-22,4,39.96
579,50012011250,2016-06-23,1,9.99
581,50012011250,2016-06-25,2,19.98
582,50012011250,2016-06-27,3,29.97
583,50012011250,2016-06-28,5,49.95
584,50012011250,2016-06-29,5,49.95
585,50012011250,2016-06-30,3,29.97
586,50012011250,2016-07-01,1,9.99
587,50012011250,2016-07-02,2,19.98
588,50012011250,2016-07-04,4,39.96
590,50012011250,2016-07-06,3,29.97
591,50012011250,2016-07-07,3,29.97
592,50012011250,2016-07-08,2,19.98
594,50012011250,2016-07-11,6,59.94
595,50012011250,2016-07-12,7,69.93
597,50012011250,2016-07-15,5,49.95
598,50012011250,2016-07-16,5,49.95
599,50012011250,2016-07-18,1,9.99
600,50012011250,2016-07-19,3,29.97
601,50012011250,2016-07-20,1,9.99
602,50012011250,2016-07-21,5,49.95
603,50012011250,2016-07-22,4,39.96
604,50012011250,2016-07-23,3,29.97
605,50012011250,2016-07-25,9,89.91
607,50012011250,2016-07-27,5,49.95
608,50012011250,2016-07-28,5,49.95
609,50012011250,2016-07-30,1,9.99
610,50012011250,2016-08-01,3,29.97
611,50012011250,2016-08-02,3,29.97
612,50012011250,2016-08-03,4,39.96
613,50012011250,2016-08-04,4,39.96
614,50012011250,2016-08-05,5,49.95
615,50012011250,2016-08-06,2,19.98
616,50012011340,2014-08-04,3,14.97
617,50012011340,2014-08-05,2,9.98
618,50012011340,2014-08-06,1,4.99
619,50012011340,2014-08-11,1,4.99
620,50012011340,2014-08-12,2,9.98
621,50012011340,2014-08-13,3,14.97
622,50012011340,2014-08-14,3,14.97
624,50012011340,2014-08-16,3,14.97
625,50012011340,2014-08-18,3,14.97
627,50012011340,2014-08-23,3,14.97
628,50012011340,2014-08-25,1,4.99
629,50012011340,2014-08-26,1,4.99
630,50012011340,2014-08-27,1,4.99
631,50012011340,2014-08-28,1,4.99
632,50012011340,2014-08-29,2,9.98
633,50012011340,2014-08-30,1,4.99
634,50012011340,2014-09-01,2,9.98
635,50012011340,2014-09-03,1,4.99
636,50012011340,2014-09-04,2,9.98
637,50012011340,2014-09-06,2,9.98
638,50012011340,2014-09-08,2,9.98
640,50012011340,2014-09-10,1,4.99
642,50012011340,2014-09-12,2,9.98
643,50012011340,2014-09-15,1,4.99
644,50012011340,2014-09-16,2,9.98
645,50012011340,2014-09-17,5,24.95
646,50012011340,2014-09-18,1,4.99
647,50012011340,2014-09-19,2,9.98
648,50012011340,2014-09-22,3,14.97
649,50012011340,2014-09-23,1,4.99
650,50012011340,2014-09-24,3,14.97
652,50012011340,2014-09-27,1,4.99
653,50012011340,2014-09-29,2,9.98
654,50012011340,2014-09-30,2,9.98
655,50012011340,2014-10-01,4,19.96
656,50012011340,2014-10-02,4,19.96
657,50012011340,2014-10-04,1,4.99
658,50012011340,2014-10-06,2,9.98
659,50012011340,2014-10-08,1,4.99
660,50012011340,2014-10-09,1,4.99
661,50012011340,2014-10-10,1,4.99
662,50012011340,2014-10-11,4,19.96
663,50012011340,2014-10-13,2,9.98
664,50012011340,2014-10-14,3,14.97
665,50012011340,2014-10-17,2,9.98
666,50012011340,2014-10-20,2,9.98
667,50012011340,2014-10-21,3,14.97
668,50012011340,2014-10-22,1,4.99
669,50012011340,2014-10-23,1,4.99
670,50012011340,2014-10-24,2,9.98
671,50012011340,2014-10-25,2,9.98
672,50012011340,2014-10-28,4,19.96
673,50012011340,2014-10-29,1,4.99
674,50012011340,2014-10-30,2,9.98
675,50012011340,2014-10-31,5,24.95
676,50012011340,2014-11-01,1,4.99
677,50012011340,2014-11-03,6,29.94
678,50012011340,2014-11-04,2,9.98
679,50012011340,2014-11-06,3,14.97
680,50012011340,2014-11-07,1,4.99
681,50012011340,2014-11-08,1,12.99
684,50012011340,2014-11-13,2,9.98
685,50012011340,2014-11-15,1,4.99
686,50012011340,2014-11-17,4,19.96
687,50012011340,2014-11-18,-1,-4.99
688,50012011340,2014-11-19,1,4.99
691,50012011340,2014-11-24,1,4.99
692,50012011340,2014-11-25,2,9.98
693,50012011340,2014-11-26,1,4.99
694,50012011340,2014-11-27,4,19.96
695,50012011340,2014-11-28,2,9.98
696,50012011340,2014-11-29,3,14.97
697,50012011340,2014-12-01,1,4.99
698,50012011340,2014-12-02,1,4.99
699,50012011340,2014-12-04,1,4.99
701,50012011340,2014-12-06,2,9.98
702,50012011340,2014-12-08,1,4.99
703,50012011340,2014-12-09,1,4.99
704,50012011340,2014-12-10,1,4.99
705,50012011340,2014-12-12,2,9.98
706,50012011340,2014-12-13,2,9.98
708,50012011340,2014-12-16,3,14.97
709,50012011340,2014-12-17,3,14.97
710,50012011340,2014-12-18,3,14.97
711,50012011340,2014-12-20,1,4.99
712,50012011340,2014-12-22,2,9.98
713,50012011340,2014-12-23,2,9.98
714,50012011340,2014-12-24,2,9.98
715,50012011340,2014-12-25,2,9.98
716,50012011340,2014-12-26,3,14.97
717,50012011340,2014-12-27,1,4.99
718,50012011340,2014-12-29,1,4.99
719,50012011340,2014-12-30,1,4.99
720,50012011340,2014-12-31,1,4.99
721,50012011340,2015-01-01,2,9.98
723,50012011340,2015-01-03,3,14.97
724,50012011340,2015-01-06,3,14.97
725,50012011340,2015-01-07,1,4.99
726,50012011340,2015-01-08,2,9.98
727,50012011340,2015-01-09,1,4.99
728,50012011340,2015-01-10,2,9.98
729,50012011340,2015-01-12,2,9.98
731,50012011340,2015-01-14,2,9.98
732,50012011340,2015-01-15,3,14.97
733,50012011340,2015-01-16,5,24.95
734,50012011340,2015-01-17,1,4.99
735,50012011340,2015-01-19,1,4.99
736,50012011340,2015-01-20,1,4.99
737,50012011340,2015-01-21,1,4.99
738,50012011340,2015-01-22,1,12.99
739,50012011340,2015-01-26,2,9.98
740,50012011340,2015-01-27,3,14.97
741,50012011340,2015-01-28,1,4.99
742,50012011340,2015-01-29,2,9.98
743,50012011340,2015-01-30,1,4.99
744,50012011340,2015-01-31,2,9.98
745,50012011340,2015-02-02,2,9.98
746,50012011340,2015-02-03,4,19.96
747,50012011340,2015-02-04,4,19.96
748,50012011340,2015-02-05,2,9.98
749,50012011340,2015-02-06,2,9.98
750,50012011340,2015-02-07,1,4.99
