,DB_ID,SKU,Store,Date,Unit Sales,Dollar Sales,Month,Year/Month,Week,Week of month,Period of month,Unit Cost,Profit,Day of the week
30,79474,50012011250,312,2014-09-08,4.0,39.96,9,2014-09,2014-36,2,Middle,7.5,9.96,1
31,79475,50012011250,312,2014-09-09,7.0,69.93,9,2014-09,2014-36,2,Middle,7.5,17.430000000000007,2
32,79476,50012011250,312,2014-09-10,6.0,59.94,9,2014-09,2014-36,2,Middle,7.5,14.939999999999998,3
33,79477,50012011250,312,2014-09-11,3.0,29.97,9,2014-09,2014-36,2,Middle,7.5,7.469999999999999,4
34,79478,50012011250,312,2014-09-12,5.0,49.95,9,2014-09,2014-36,2,Middle,7.5,12.450000000000003,5
35,79479,50012011250,312,2014-09-13,2.0,19.98,9,2014-09,2014-36,2,Middle,7.5,4.98,6
36,79480,50012011250,312,2014-09-15,7.0,69.93,9,2014-09,2014-37,3,Middle,7.5,17.430000000000007,1
37,79481,50012011250,312,2014-09-16,6.0,59.94,9,2014-09,2014-37,3,Middle,7.5,14.939999999999998,2
38,79482,50012011250,312,2014-09-19,3.0,29.97,9,2014-09,2014-37,3,Middle,7.5,7.469999999999999,5
39,79483,50012011250,312,2014-09-20,2.0,19.98,9,2014-09,2014-37,3,Middle,7.5,4.98,6
40,79484,50012011250,312,2014-09-22,6.0,59.94,9,2014-09,2014-38,4,End,7.5,14.939999999999998,1
41,79485,50012011250,312,2014-09-23,5.0,49.95,9,2014-09,2014-38,4,End,7.5,12.450000000000003,2
42,79486,50012011250,312,2014-09-24,6.0,59.94,9,2014-09,2014-38,4,End,7.5,14.939999999999998,3
43,79487,50012011250,312,2014-09-25,7.0,69.93,9,2014-09,2014-38,4,End,7.5,17.430000000000007,4
44,79488,50012011250,312,2014-09-26,3.0,29.97,9,2014-09,2014-38,4,End,7.5,7.469999999999999,5
45,79489,50012011250,312,2014-09-27,11.0,109.89,9,2014-09,2014-38,4,End,7.5,27.39,6
46,79490,50012011250,312,2014-09-29,3.0,29.97,9,2014-09,2014-39,5,End,7.5,7.469999999999999,1
47,79491,50012011250,312,2014-09-30,4.0,39.96,9,2014-09,2014-39,5,End,7.5,9.96,2
48,79492,50012011250,312,2014-10-01,2.0,19.98,10,2014-10,2014-39,0,Beginning,7.5,4.98,3
50,79494,50012011250,312,2014-10-03,2.0,19.98,10,2014-10,2014-39,0,Beginning,7.5,4.98,5
51,79495,50012011250,312,2014-10-04,4.0,39.96,10,2014-10,2014-39,0,Beginning,7.5,9.96,6
52,79496,50012011250,312,2014-10-06,2.0,19.98,10,2014-10,2014-40,1,Beginning,7.5,4.98,1
53,79497,50012011250,312,2014-10-07,4.0,39.96,10,2014-10,2014-40,1,Beginning,7.5,9.96,2
54,79498,50012011250,312,2014-10-08,7.0,69.93,10,2014-10,2014-40,1,Beginning,7.5,17.430000000000007,3
56,79500,50012011250,312,2014-10-10,2.0,19.98,10,2014-10,2014-40,1,Beginning,7.5,4.98,5
57,79501,50012011250,312,2014-10-11,4.0,39.96,10,2014-10,2014-40,1,Beginning,7.5,9.96,6
59,79503,50012011250,312,2014-10-14,4.0,39.96,10,2014-10,2014-41,2,Middle,7.5,9.96,2
60,79504,50012011250,312,2014-10-15,3.0,29.97,10,2014-10,2014-41,2,Middle,7.5,7.469999999999999,3
61,79505,50012011250,312,2014-10-16,6.0,59.94,10,2014-10,2014-41,2,Middle,7.5,14.939999999999998,4
62,79506,50012011250,312,2014-10-17,4.0,39.96,10,2014-10,2014-41,2,Middle,7.5,9.96,5
63,79507,50012011250,312,2014-10-18,3.0,29.97,10,2014-10,2014-41,2,Middle,7.5,7.469999999999999,6
64,79508,50012011250,312,2014-10-20,4.0,39.96,10,2014-10,2014-42,3,Middle,7.5,9.96,1
65,79509,50012011250,312,2014-10-21,5.0,49.95,10,2014-10,2014-42,3,Middle,7.5,12.450000000000003,2
66,79510,50012011250,312,2014-10-22,1.0,9.99,10,2014-10,2014-42,3,Middle,7.5,2.49,3
67,79511,50012011250,312,2014-10-23,1.0,9.99,10,2014-10,2014-42,3,Middle,7.5,2.49,4
68,79512,50012011250,312,2014-10-24,6.0,59.94,10,2014-10,2014-42,3,Middle,7.5,14.939999999999998,5
69,79513,50012011250,312,2014-10-25,1.0,9.99,10,2014-10,2014-42,3,Middle,7.5,2.49,6
70,79514,50012011250,312,2014-10-27,3.0,29.97,10,2014-10,2014-43,4,End,7.5,7.469999999999999,1
71,79515,50012011250,312,2014-10-28,2.0,19.98,10,2014-10,2014-43,4,End,7.5,4.98,2
72,79516,50012011250,312,2014-10-29,4.0,39.96,10,2014-10,2014-43,4,End,7.5,9.96,3
73,79517,50012011250,312,2014-10-30,3.0,29.97,10,2014-10,2014-43,4,End,7.5,7.469999999999999,4
75,79519,50012011250,312,2014-11-01,3.0,29.97,11,2014-11,2014-43,0,Beginning,7.5,7.469999999999999,6
76,79520,50012011250,312,2014-11-03,3.0,29.97,11,2014-11,2014-44,1,Beginning,7.5,7.469999999999999,1
77,79521,50012011250,312,2014-11-04,1.0,9.99,11,2014-11,2014-44,1,Beginning,7.5,2.49,2
78,79522,50012011250,312,2014-11-05,7.0,69.93,11,2014-11,2014-44,1,Beginning,7.5,17.430000000000007,3
79,79523,50012011250,312,2014-11-06,3.0,29.97,11,2014-11,2014-44,1,Beginning,7.5,7.469999999999999,4
80,79524,50012011250,312,2014-11-07,3.0,29.97,11,2014-11,2014-44,1,Beginning,7.5,7.469999999999999,5
81,79525,50012011250,312,2014-11-08,2.0,19.98,11,2014-11,2014-44,1,Beginning,7.5,4.98,6
82,79526,50012011250,312,2014-11-10,2.0,19.98,11,2014-11,2014-45,2,Middle,7.5,4.98,1
83,79527,50012011250,312,2014-11-11,4.0,39.96,11,2014-11,2014-45,2,Middle,7.5,9.96,2
84,79528,50012011250,312,2014-11-12,2.0,19.98,11,2014-11,2014-45,2,Middle,7.5,4.98,3
86,79530,50012011250,312,2014-11-14,6.0,59.94,11,2014-11,2014-45,2,Middle,7.5,14.939999999999998,5
87,79531,50012011250,312,2014-11-15,3.0,29.97,11,2014-11,2014-45,2,Middle,7.5,7.469999999999999,6
88,79532,50012011250,312,2014-11-17,1.0,9.99,11,2014-11,2014-46,3,Middle,7.5,2.49,1
89,79533,50012011250,312,2014-11-18,5.0,49.95,11,2014-11,2014-46,3,Middle,7.5,12.450000000000003,2
90,79534,50012011250,312,2014-11-19,4.0,39.96,11,2014-11,2014-46,3,Middle,7.5,9.96,3
91,79535,50012011250,312,2014-11-20,1.0,9.99,11,2014-11,2014-46,3,Middle,7.5,2.49,4
92,79536,50012011250,312,2014-11-21,1.0,9.99,11,2014-11,2014-46,3,Middle,7.5,2.49,5
93,79537,50012011250,312,2014-11-22,2.0,19.98,11,2014-11,2014-46,3,Middle,7.5,4.98,6
94,79538,50012011250,312,2014-11-24,-2.0,-19.98,11,2014-11,2014-47,4,End,7.5,-4.98,1
95,79539,50012011250,312,2014-11-25,5.0,49.95,11,2014-11,2014-47,4,End,7.5,12.450000000000003,2
96,79540,50012011250,312,2014-11-26,-3.0,-29.97,11,2014-11,2014-47,4,End,7.5,-7.469999999999999,3
97,79541,50012011250,312,2014-11-27,2.0,19.98,11,2014-11,2014-47,4,End,7.5,4.98,4
98,79542,50012011250,312,2014-11-28,4.0,39.96,11,2014-11,2014-47,4,End,7.5,9.96,5
99,79543,50012011250,312,2014-11-29,1.0,9.99,11,2014-11,2014-47,4,End,7.5,2.49,6
100,79544,50012011250,312,2014-12-01,1.0,9.99,12,2014-12,2014-48,1,Beginning,7.5,2.49,1
101,79545,50012011250,312,2014-12-02,9.0,89.91,12,2014-12,2014-48,1,Beginning,7.5,22.409999999999997,2
102,79546,50012011250,312,2014-12-03,5.0,49.95,12,2014-12,2014-48,1,Beginning,7.5,12.450000000000003,3
103,79547,50012011250,312,2014-12-04,4.0,39.96,12,2014-12,2014-48,1,Beginning,7.5,9.96,4
104,79548,50012011250,312,2014-12-05,3.0,29.97,12,2014-12,2014-48,1,Beginning,7.5,7.469999999999999,5
105,79549,50012011250,312,2014-12-06,3.0,29.97,12,2014-12,2014-48,1,Beginning,7.5,7.469999999999999,6
107,79551,50012011250,312,2014-12-09,5.0,49.95,12,2014-12,2014-49,2,Middle,7.5,12.450000000000003,2
108,79552,50012011250,312,2014-12-10,4.0,39.96,12,2014-12,2014-49,2,Middle,7.5,9.96,3
109,79553,50012011250,312,2014-12-11,4.0,39.96,12,2014-12,2014-49,2,Middle,7.5,9.96,4
110,79554,50012011250,312,2014-12-12,3.0,29.97,12,2014-12,2014-49,2,Middle,7.5,7.469999999999999,5
111,79555,50012011250,312,2014-12-13,2.0,19.98,12,2014-12,2014-49,2,Middle,7.5,4.98,6
112,79556,50012011250,312,2014-12-15,7.0,69.93,12,2014-12,2014-50,3,Middle,7.5,17.430000000000007,1
113,79557,50012011250,312,2014-12-16,5.0,49.95,12,2014-12,2014-50,3,Middle,7.5,12.450000000000003,2
114,79558,50012011250,312,2014-12-17,5.0,49.95,12,2014-12,2014-50,3,Middle,7.5,12.450000000000003,3
116,79560,50012011250,312,2014-12-19,4.0,39.96,12,2014-12,2014-50,3,Middle,7.5,9.96,5
117,79561,50012011250,312,2014-12-20,4.0,39.96,12,2014-12,2014-50,3,Middle,7.5,9.96,6
118,79562,50012011250,312,2014-12-22,5.0,49.95,12,2014-12,2014-51,4,End,7.5,12.450000000000003,1
120,79564,50012011250,312,2014-12-24,6.0,59.94,12,2014-12,2014-51,4,End,7.5,14.939999999999998,3
121,79565,50012011250,312,2014-12-25,2.0,19.98,12,2014-12,2014-51,4,End,7.5,4.98,4
122,79566,50012011250,312,2014-12-26,5.0,49.95,12,2014-12,2014-51,4,End,7.5,12.450000000000003,5
123,79567,50012011250,312,2014-12-29,5.0,49.95,12,2014-12,2014-52,5,End,7.5,12.450000000000003,1
124,79568,50012011250,312,2014-12-30,7.0,699.93,12,2014-12,2014-52,5,End,7.5,647.43,2
125,79569,50012011250,312,2014-12-31,2.0,19.98,12,2014-12,2014-52,5,End,7.5,4.98,3
126,79570,50012011250,312,2015-01-01,4.0,39.96,1,2015-01,2015-00,0,Beginning,7.5,9.96,4
127,79571,50012011250,312,2015-01-02,4.0,39.96,1,2015-01,2015-00,0,Beginning,7.5,9.96,5
128,79572,50012011250,312,2015-01-03,1.0,9.99,1,2015-01,2015-00,0,Beginning,7.5,2.49,6
129,79573,50012011250,312,2015-01-05,1.0,9.99,1,2015-01,2015-01,1,Beginning,7.5,2.49,1
130,79574,50012011250,312,2015-01-06,6.0,59.94,1,2015-01,2015-01,1,Beginning,7.5,14.939999999999998,2
131,79575,50012011250,312,2015-01-07,1.0,9.99,1,2015-01,2015-01,1,Beginning,7.5,2.49,3
132,79576,50012011250,312,2015-01-08,1.0,9.99,1,2015-01,2015-01,1,Beginning,7.5,2.49,4
133,79577,50012011250,312,2015-01-09,7.0,69.93,1,2015-01,2015-01,1,Beginning,7.5,17.430000000000007,5
134,79578,50012011250,312,2015-01-10,3.0,29.97,1,2015-01,2015-01,1,Beginning,7.5,7.469999999999999,6
135,79579,50012011250,312,2015-01-12,3.0,29.97,1,2015-01,2015-02,2,Middle,7.5,7.469999999999999,1
136,79580,50012011250,312,2015-01-13,6.0,59.94,1,2015-01,2015-02,2,Middle,7.5,14.939999999999998,2
137,79581,50012011250,312,2015-01-14,3.0,29.97,1,2015-01,2015-02,2,Middle,7.5,7.469999999999999,3
138,79582,50012011250,312,2015-01-15,7.0,69.93,1,2015-01,2015-02,2,Middle,7.5,17.430000000000007,4
139,79583,50012011250,312,2015-01-16,2.0,19.98,1,2015-01,2015-02,2,Middle,7.5,4.98,5
140,79584,50012011250,312,2015-01-17,2.0,19.98,1,2015-01,2015-02,2,Middle,7.5,4.98,6
141,79585,50012011250,312,2015-01-19,3.0,29.97,1,2015-01,2015-03,3,Middle,7.5,7.469999999999999,1
142,79586,50012011250,312,2015-01-20,7.0,69.93,1,2015-01,2015-03,3,Middle,7.5,17.430000000000007,2
143,79587,50012011250,312,2015-01-21,3.0,29.97,1,2015-01,2015-03,3,Middle,7.5,7.469999999999999,3
144,79588,50012011250,312,2015-01-22,1.0,9.99,1,2015-01,2015-03,3,Middle,7.5,2.49,4
145,79589,50012011250,312,2015-01-23,1.0,9.99,1,2015-01,2015-03,3,Middle,7.5,2.49,5
146,79590,50012011250,312,2015-01-24,1.0,9.99,1,2015-01,2015-03,3,Middle,7.5,2.49,6
147,79591,50012011250,312,2015-01-26,4.0,39.96,1,2015-01,2015-04,4,End,7.5,9.96,1
148,79592,50012011250,312,2015-01-27,2.0,19.98,1,2015-01,2015-04,4,End,7.5,4.98,2
149,79593,50012011250,312,2015-01-28,2.0,19.98,1,2015-01,2015-04,4,End,7.5,4.98,3
150,79594,50012011250,312,2015-01-29,2.0,19.98,1,2015-01,2015-04,4,End,7.5,4.98,4
151,79595,50012011250,312,2015-01-30,2.0,19.98,1,2015-01,2015-04,4,End,7.5,4.98,5
152,79596,50012011250,312,2015-01-31,4.0,39.96,1,2015-01,2015-04,4,End,7.5,9.96,6
153,79597,50012011250,312,2015-02-02,3.0,29.97,2,2015-02,2015-05,1,Beginning,7.5,7.469999999999999,1
154,79598,50012011250,312,2015-02-03,6.0,59.94,2,2015-02,2015-05,1,Beginning,7.5,14.939999999999998,2
155,79599,50012011250,312,2015-02-04,3.0,29.97,2,2015-02,2015-05,1,Beginning,7.5,7.469999999999999,3
156,79600,50012011250,312,2015-02-05,4.0,39.96,2,2015-02,2015-05,1,Beginning,7.5,9.96,4
157,79601,50012011250,312,2015-02-06,5.0,49.95,2,2015-02,2015-05,1,Beginning,7.5,12.450000000000003,5
158,79602,50012011250,312,2015-02-07,4.0,39.96,2,2015-02,2015-05,1,Beginning,7.5,9.96,6
159,79603,50012011250,312,2015-02-09,5.0,49.95,2,2015-02,2015-06,2,Middle,7.5,12.450000000000003,1
160,79604,50012011250,312,2015-02-10,5.0,49.95,2,2015-02,2015-06,2,Middle,7.5,12.450000000000003,2
161,79605,50012011250,312,2015-02-11,2.0,19.98,2,2015-02,2015-06,2,Middle,7.5,4.98,3
162,79606,50012011250,312,2015-02-12,5.0,49.95,2,2015-02,2015-06,2,Middle,7.5,12.450000000000003,4
163,79607,50012011250,312,2015-02-13,5.0,49.95,2,2015-02,2015-06,2,Middle,7.5,12.450000000000003,5
164,79608,50012011250,312,2015-02-14,1.0,9.99,2,2015-02,2015-06,2,Middle,7.5,2.49,6
165,79609,50012011250,312,2015-02-16,4.0,39.96,2,2015-02,2015-07,3,Middle,7.5,9.96,1
166,79610,50012011250,312,2015-02-17,3.0,29.97,2,2015-02,2015-07,3,Middle,7.5,7.469999999999999,2
167,79611,50012011250,312,2015-02-18,4.0,39.96,2,2015-02,2015-07,3,Middle,7.5,9.96,3
168,79612,50012011250,312,2015-02-19,3.0,29.97,2,2015-02,2015-07,3,Middle,7.5,7.469999999999999,4
169,79613,50012011250,312,2015-02-20,2.0,19.98,2,2015-02,2015-07,3,Middle,7.5,4.98,5
170,79614,50012011250,312,2015-02-21,1.0,9.99,2,2015-02,2015-07,3,Middle,7.5,2.49,6
171,79615,50012011250,312,2015-02-23,3.0,29.97,2,2015-02,2015-08,4,End,7.5,7.469999999999999,1
172,79616,50012011250,312,2015-02-24,4.0,39.96,2,2015-02,2015-08,4,End,7.5,9.96,2
173,79617,50012011250,312,2015-02-25,5.0,49.95,2,2015-02,2015-08,4,End,7.5,12.450000000000003,3
174,79618,50012011250,312,2015-02-26,1.0,9.99,2,2015-02,2015-08,4,End,7.5,2.49,4
175,79619,50012011250,312,2015-02-27,4.0,39.96,2,2015-02,2015-08,4,End,7.5,9.96,5
176,79620,50012011250,312,2015-02-28,3.0,29.97,2,2015-02,2015-08,4,End,7.5,7.469999999999999,6
177,79621,50012011250,312,2015-03-03,3.0,29.97,3,2015-03,2015-09,1,Beginning,7.5,7.469999999999999,2
178,79622,50012011250,312,2015-03-04,2.0,19.98,3,2015-03,2015-09,1,Beginning,7.5,4.98,3
179,79623,50012011250,312,2015-03-05,4.0,39.96,3,2015-03,2015-09,1,Beginning,7.5,9.96,4
180,79624,50012011250,312,2015-03-06,6.0,59.94,3,2015-03,2015-09,1,Beginning,7.5,14.939999999999998,5
181,79625,50012011250,312,2015-03-07,1.0,9.99,3,2015-03,2015-09,1,Beginning,7.5,2.49,6
182,79626,50012011250,312,2015-03-09,2.0,19.98,3,2015-03,2015-10,2,Middle,7.5,4.98,1
183,79627,50012011250,312,2015-03-10,3.0,29.97,3,2015-03,2015-10,2,Middle,7.5,7.469999999999999,2
184,79628,50012011250,312,2015-03-11,6.0,59.94,3,2015-03,2015-10,2,Middle,7.5,14.939999999999998,3
185,79629,50012011250,312,2015-03-12,5.0,49.95,3,2015-03,2015-10,2,Middle,7.5,12.450000000000003,4
186,79630,50012011250,312,2015-03-13,5.0,49.95,3,2015-03,2015-10,2,Middle,7.5,12.450000000000003,5
187,79631,50012011250,312,2015-03-14,3.0,29.97,3,2015-03,2015-10,2,Middle,7.5,7.469999999999999,6
188,79632,50012011250,312,2015-03-16,5.0,49.95,3,2015-03,2015-11,3,Middle,7.5,12.450000000000003,1
189,79633,50012011250,312,2015-03-17,6.0,59.94,3,2015-03,2015-11,3,Middle,7.5,14.939999999999998,2
190,79634,50012011250,312,2015-03-18,3.0,29.97,3,2015-03,2015-11,3,Middle,7.5,7.469999999999999,3
191,79635,50012011250,312,2015-03-19,3.0,29.97,3,2015-03,2015-11,3,Middle,7.5,7.469999999999999,4
192,79636,50012011250,312,2015-03-20,2.0,19.98,3,2015-03,2015-11,3,Middle,7.5,4.98,5
193,79637,50012011250,312,2015-03-21,6.0,59.94,3,2015-03,2015-11,3,Middle,7.5,14.939999999999998,6
194,79638,50012011250,312,2015-03-23,6.0,59.94,3,2015-03,2015-12,4,End,7.5,14.939999999999998,1
195,79639,50012011250,312,2015-03-24,3.0,29.97,3,2015-03,2015-12,4,End,7.5,7.469999999999999,2
196,79640,50012011250,312,2015-03-25,4.0,39.96,3,2015-03,2015-12,4,End,7.5,9.96,3
197,79641,50012011250,312,2015-03-26,5.0,49.95,3,2015-03,2015-12,4,End,7.5,12.450000000000003,4
198,79642,50012011250,312,2015-03-27,3.0,29.97,3,2015-03,2015-12,4,End,7.5,7.469999999999999,5
199,79643,50012011250,312,2015-03-28,4.0,39.96,3,2015-03,2015-12,4,End,7.5,9.96,6
200,79644,50012011250,312,2015-03-30,4.0,39.96,3,2015-03,2015-13,5,End,7.5,9.96,1
201,79645,50012011250,312,2015-03-31,-4.0,-39.96,3,2015-03,2015-13,5,End,7.5,-9.96,2
202,79646,50012011250,312,2015-04-01,2.0,19.98,4,2015-04,2015-13,0,Beginning,7.5,4.98,3
203,79647,50012011250,312,2015-04-02,2.0,19.98,4,2015-04,2015-13,0,Beginning,7.5,4.98,4
204,79648,50012011250,312,2015-04-03,1.0,9.99,4,2015-04,2015-13,0,Beginning,7.5,2.49,5
205,79649,50012011250,312,2015-04-04,2.0,19.98,4,2015-04,2015-13,0,Beginning,7.5,4.98,6
206,79650,50012011250,312,2015-04-06,1.0,9.99,4,2015-04,2015-14,1,Beginning,7.5,2.49,1
207,79651,50012011250,312,2015-04-07,2.0,19.98,4,2015-04,2015-14,1,Beginning,7.5,4.98,2
208,79652,50012011250,312,2015-04-08,2.0,19.98,4,2015-04,2015-14,1,Beginning,7.5,4.98,3
209,79653,50012011250,312,2015-04-09,5.0,49.95,4,2015-04,2015-14,1,Beginning,7.5,12.450000000000003,4
210,79654,50012011250,312,2015-04-10,2.0,19.98,4,2015-04,2015-14,1,Beginning,7.5,4.98,5
212,79656,50012011250,312,2015-04-13,4.0,39.96,4,2015-04,2015-15,2,Middle,7.5,9.96,1
213,79657,50012011250,312,2015-04-14,4.0,39.96,4,2015-04,2015-15,2,Middle,7.5,9.96,2
214,79658,50012011250,312,2015-04-15,2.0,19.98,4,2015-04,2015-15,2,Middle,7.5,4.98,3
215,79659,50012011250,312,2015-04-16,2.0,19.98,4,2015-04,2015-15,2,Middle,7.5,4.98,4
216,79660,50012011250,312,2015-04-17,3.0,29.97,4,2015-04,2015-15,2,Middle,7.5,7.469999999999999,5
217,79661,50012011250,312,2015-04-18,6.0,59.94,4,2015-04,2015-15,2,Middle,7.5,14.939999999999998,6
218,79662,50012011250,312,2015-04-20,5.0,49.95,4,2015-04,2015-16,3,Middle,7.5,12.450000000000003,1
219,79663,50012011250,312,2015-04-21,5.0,49.95,4,2015-04,2015-16,3,Middle,7.5,12.450000000000003,2
220,79664,50012011250,312,2015-04-22,1.0,9.99,4,2015-04,2015-16,3,Middle,7.5,2.49,3
221,79665,50012011250,312,2015-04-23,4.0,39.96,4,2015-04,2015-16,3,Middle,7.5,9.96,4
222,79666,50012011250,312,2015-04-24,6.0,59.94,4,2015-04,2015-16,3,Middle,7.5,14.939999999999998,5
223,79667,50012011250,312,2015-04-25,1.0,9.99,4,2015-04,2015-16,3,Middle,7.5,2.49,6
224,79668,50012011250,312,2015-04-27,5.0,49.95,4,2015-04,2015-17,4,End,7.5,12.450000000000003,1
225,79669,50012011250,312,2015-04-28,3.0,29.97,4,2015-04,2015-17,4,End,7.5,7.469999999999999,2
226,79670,50012011250,312,2015-04-29,1.0,9.99,4,2015-04,2015-17,4,End,7.5,2.49,3
227,79671,50012011250,312,2015-04-30,3.0,29.97,4,2015-04,2015-17,4,End,7.5,7.469999999999999,4
229,79673,50012011250,312,2015-05-02,4.0,39.96,5,2015-05,2015-17,0,Beginning,7.5,9.96,6
230,79674,50012011250,312,2015-05-05,5.0,49.95,5,2015-05,2015-18,1,Beginning,7.5,12.450000000000003,2
231,79675,50012011250,312,2015-05-06,2.0,19.98,5,2015-05,2015-18,1,Beginning,7.5,4.98,3
232,79676,50012011250,312,2015-05-07,3.0,29.97,5,2015-05,2015-18,1,Beginning,7.5,7.469999999999999,4
233,79677,50012011250,312,2015-05-08,1.0,9.99,5,2015-05,2015-18,1,Beginning,7.5,2.49,5
234,79678,50012011250,312,2015-05-09,3.0,29.97,5,2015-05,2015-18,1,Beginning,7.5,7.469999999999999,6
235,79679,50012011250,312,2015-05-11,3.0,29.97,5,2015-05,2015-19,2,Middle,7.5,7.469999999999999,1
236,79680,50012011250,312,2015-05-12,3.0,29.97,5,2015-05,2015-19,2,Middle,7.5,7.469999999999999,2
237,79681,50012011250,312,2015-05-13,3.0,29.97,5,2015-05,2015-19,2,Middle,7.5,7.469999999999999,3
238,79682,50012011250,312,2015-05-14,3.0,29.97,5,2015-05,2015-19,2,Middle,7.5,7.469999999999999,4
239,79683,50012011250,312,2015-05-15,1.0,9.99,5,2015-05,2015-19,2,Middle,7.5,2.49,5
240,79684,50012011250,312,2015-05-16,7.0,69.93,5,2015-05,2015-19,2,Middle,7.5,17.430000000000007,6
241,79685,50012011250,312,2015-05-18,3.0,29.97,5,2015-05,2015-20,3,Middle,7.5,7.469999999999999,1
242,79686,50012011250,312,2015-05-19,1.0,9.99,5,2015-05,2015-20,3,Middle,7.5,2.49,2
244,79688,50012011250,312,2015-05-21,1.0,9.99,5,2015-05,2015-20,3,Middle,7.5,2.49,4
245,79689,50012011250,312,2015-05-22,2.0,19.98,5,2015-05,2015-20,3,Middle,7.5,4.98,5
246,79690,50012011250,312,2015-05-23,3.0,29.97,5,2015-05,2015-20,3,Middle,7.5,7.469999999999999,6
247,79691,50012011250,312,2015-05-25,5.0,49.95,5,2015-05,2015-21,4,End,7.5,12.450000000000003,1
248,79692,50012011250,312,2015-05-26,4.0,39.96,5,2015-05,2015-21,4,End,7.5,9.96,2
249,79693,50012011250,312,2015-05-27,3.0,29.97,5,2015-05,2015-21,4,End,7.5,7.469999999999999,3
250,79694,50012011250,312,2015-05-28,1.0,9.99,5,2015-05,2015-21,4,End,7.5,2.49,4
251,79695,50012011250,312,2015-05-29,3.0,29.97,5,2015-05,2015-21,4,End,7.5,7.469999999999999,5
252,79696,50012011250,312,2015-05-30,2.0,19.98,5,2015-05,2015-21,4,End,7.5,4.98,6
253,79697,50012011250,312,2015-06-01,2.0,19.98,6,2015-06,2015-22,1,Beginning,7.5,4.98,1
254,79698,50012011250,312,2015-06-02,8.0,79.92,6,2015-06,2015-22,1,Beginning,7.5,19.92,2
255,79699,50012011250,312,2015-06-03,7.0,69.93,6,2015-06,2015-22,1,Beginning,7.5,17.430000000000007,3
256,79700,50012011250,312,2015-06-04,2.0,19.98,6,2015-06,2015-22,1,Beginning,7.5,4.98,4
